unit_id	collection	url	dir_segment	study	run	n_unique_sequences	Species	Isotype	Chain	Disease	Vaccine	Subject	Age	Longitudinal	BSource	BType	Author	detail_status	detail_attempted
Banerjee_2017/csv/SRR5060321_Heavy_Bulk.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060321_Heavy_Bulk.csv.gz	csv	Banerjee_2017	SRR5060321	1671672	rabbit	Bulk	Heavy	None	HIV	no	no	Terminal-bleed	Spleen	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060321_Heavy_IGHA.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060321_Heavy_IGHA.csv.gz	csv	Banerjee_2017	SRR5060321	3	rabbit	IGHA	Heavy	None	HIV	no	no	Terminal-bleed	Spleen	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060322_Heavy_Bulk.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060322_Heavy_Bulk.csv.gz	csv	Banerjee_2017	SRR5060322	136453	rabbit	Bulk	Heavy	None	HIV	no	no	Terminal-bleed	PBMC	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060322_Heavy_IGHA.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060322_Heavy_IGHA.csv.gz	csv	Banerjee_2017	SRR5060322	1	rabbit	IGHA	Heavy	None	HIV	no	no	Terminal-bleed	PBMC	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060323_Heavy_Bulk.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060323_Heavy_Bulk.csv.gz	csv	Banerjee_2017	SRR5060323	483776	rabbit	Bulk	Heavy	None	HIV	no	no	Vaccination-1	PBMC	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060323_Heavy_IGHA.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060323_Heavy_IGHA.csv.gz	csv	Banerjee_2017	SRR5060323	1	rabbit	IGHA	Heavy	None	HIV	no	no	Vaccination-1	PBMC	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060324_Heavy_Bulk.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060324_Heavy_Bulk.csv.gz	csv	Banerjee_2017	SRR5060324	71806	rabbit	Bulk	Heavy	None	HIV	no	no	Terminal-bleed	PBMC	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060325_Heavy_Bulk.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060325_Heavy_Bulk.csv.gz	csv	Banerjee_2017	SRR5060325	267102	rabbit	Bulk	Heavy	None	HIV	no	no	Vaccination-3	PBMC	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060326_Heavy_Bulk.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060326_Heavy_Bulk.csv.gz	csv	Banerjee_2017	SRR5060326	287275	rabbit	Bulk	Heavy	None	HIV	no	no	Vaccination-2	PBMC	Unsorted-B-Cells	Banerjee et al., 2017	ok	
Banerjee_2017/csv/SRR5060326_Heavy_IGHA.csv.gz	unpaired	https://opig.stats.ox.ac.uk/webapps/ngsdb/unpaired/Banerjee_2017/csv/SRR5060326_Heavy_IGHA.csv.gz	csv	Banerjee_2017	SRR5060326	1	rabbit	IGHA	Heavy	None	HIV	no	no	Vaccination-2	PBMC	Unsorted-B-Cells	Banerjee et al., 2017	ok	
